source,company,title,industry,location,experience,employment_type,salary,skills,deadline,url,description,crawled_at
원티드,로그베이스,서비스 기획자 (AI 커머스 · 데이터 분석),이커머스·유통,경기 과천시,2,정규직,미공개,전환율,상시채용,https://www.wanted.co.kr/wd/367801,"1. 커머스 서비스 기획 및 프로젝트 관리
• 고객 미팅 참여 및 요구사항 수집, 정리, 우선순위화
• 개발팀과 고객 사이의 요구사항 조율 및 이슈 관리
• 제조·유통 기업의 상품, 주문, 회원, 정산, 운영 프로세스 분석
• 관리자/사용자 화면의 기능 요구사항 정리 및 기획 문서 작성
• 화면 정책, 기능 정의서, 사용자 흐름, 운영 시나리오 작성
• QA 등 오픈 전 검수 지원

2. 데이터 분석 및 서비스 운영
• 고객 행동데이터 기반의 주요 지표 정의
• 상품 조회, 장바구니, 구매, 전환율 등 커머스 퍼널 분석
• 관리자 대시보드 및 리포트 기획
• 데이터 기반 인사이트를 서비스 기능 개선으로 연결하는 프로세스 수립 및 운영

3. AI 커머스 서비스 운영 설계
• AI가 생성한 상세페이지의 검수 기준 정리
• 상품 카테고리, 상품명, 상세페이지 구조 등 운영 기준 수립
• AI가 생성한 상품상세페이지에 대한 성과 분석
• 반복 가능한 프로젝트 수행 프로세스 정리
• 향후 SaaS 서비스화를 위한 기획 자산 축적 [자격요건]
• 서비스 기획, 프로젝트 기획, 데이터 분석 관련 경험 2년 이상
• 고객 요구사항을 정리하고 체계적으로 문서화시킬 수 있는 분
• 웹/모바일 서비스의 기본적인 화면 흐름과 기능 구조를 이해하는 분
• 개발자와 협업하여 기능 정의, 화면 정책, 이슈를 정리해본 경험이 있는 분
• 엑셀, 스프레드시트 등을 활용해 데이터를 정리하고 분석할 수 있는 분
• 고객 미팅, 회의록 작성, 이슈 관리에 부담이 없는 분
• 새로운 도메인을 빠르게 학습하고 구조화하는 것을 좋아하는 분

[이런 분과 함께하고 싶습니다]
• 고객의 말을 그대로 전달하는 것이 아니라, 문제의 구조를 정리할 수 있는 분
• 기획 문서를 예쁘게 쓰는 것보다, 개발과 실행이 가능하도록 정리하는 데 강점이 있는 분
• 모호한 요구사항을 구체적인 기능과 정책으로 바꿀 수 있는 분
• 데이터와 사용자 행동을 기반으로 서비스를 개선하는 일에 관심이 있는 분
• 작은 조직에서 빠르게 배우고, 직접 부딪히며 성장하고 싶은 분
• AI 시대의 서비스 기획과 데이터 분석이 어떻게 바뀌는지 함께 경험하고 싶은 분
• 화려한 커리어보다 실제로 만들고 운영한 경험에서 배움을 찾는 분
 
[합류 후 함께 하게 될 프로젝트]
현재 로그베이스는 제조·유통 기업의 AI 커머스 전환 프로젝트를 진행하고 있으며, 주요 프로젝트 범위는 다음과 같습니다.
• 기업 홈페이지 및 커머스 서비스 구축
• B2B/B2C 주문 흐름 설계
• 관리자 페이지 및 운영 기능 기획
• AI 상품상세페이지 자동 생성 기능 고도화
• 상품 데이터, 카테고리, 운영 정책 정리
• 고객 행동데이터 기반 성과 분석
• 전환율 개선을 위한 대시보드 및 리포트 구성

이 프로젝트는 단순 SI 개발이 아니라, 로그베이스가 향후 제조·유통 기업을 위한 AI 커머스 자동화 솔루션으로 확장하기 위한 중요한 레퍼런스 프로젝트입니다.


[이 포지션에서 기대하는 성장]
입사 후에는 하나의 고객 프로젝트를 기획하고 관리하는 역할에서 시작하지만, 이후에는 로그베이스의 AI 커머스 서비스가 반복 가능한 제품으로 확장될 수 있도록 기획 체계, 데이터 분석 체계, 운영 프로세스를 함께 만들어가게 됩니다.

단순히 요구사항을 정리하는 기획자가 아니라, 고객의 문제를 데이터와 AI 기반 서비스 구조로 바꾸는 경험을 쌓을 수 있습니다.

초기 단계에서 제품 기획 전체를 설계하고 운영까지 연결해본 경험은, 이후 커리어에서 쉽게 쌓기 어려운 자산입니다. 연봉보다 레퍼런스와 성장 속도, 새로운 도메인 경험을 중요하게 생각하는 분께 잘 맞는 포지션입니다.

작은 팀에서 고객과 개발팀 사이의 실무를 가까이 경험하며, 향후 AI 커머스 서비스의 기획 리더 또는 프로덕트 매니저로 성장할 수 있는 역할입니다. [우대사항]
• 커머스, 이커머스, B2B/B2C 플랫폼 관련 경험
• 상품, 주문, 회원, 정산, 배송, ERP 연동 구조에 대한 이해
• GA4, Amplitude, Mixpanel, SQL 등 데이터 분석 도구 사용 경험
• 스타트업 또는 초기 서비스 구축 프로젝트 경험
• AI 서비스, LLM, 생성형 AI 도구에 대한 관심 또는 활용 경험
• Figma, Jira, Slack, GitHub 등 협업 도구 사용 경험
• 데이터 기반으로 서비스 개선안을 제안해본 경험
• 과천 근무 및 경기 남부권 고객 미팅에 무리 없이 참여할 수 있는 분


[지원 시 참고 사항]
포트폴리오가 있다면 함께 제출해주시고, 특히 아래 경험이 있다면 좋습니다.
• 서비스 기획서 또는 화면 정의서 작성 경험
• 데이터 분석 리포트 또는 설계한 대시보드
• 고객 요구사항을 정리한 문서
• 커머스 또는 관리자 페이지 기획 경험
• 프로젝트 관리 또는 고객 커뮤니케이션 경험

화려한 문서보다, 실제 문제를 어떻게 이해하고 정리했는지를 더 중요하게 봅니다.",2026-06-12 09:30
원티드,쿠팡,[쿠팡] 데이터 분석가 3년 이상,이커머스·유통,서울 송파구,3,정규직,미공개,"SQL, A/B, 통계, Python",상시채용,https://www.wanted.co.kr/wd/367800,"•	비즈니스 운영 효율화를 위한 의사결정 지원 시스템 개발
•	도메인 데이터 분석을 통해 인사이트 도출 및 핵심 지표 정의/개선
•	리포트, 알고리즘, 분석 결과를 기술/비기술 이해관계자 모두에게 커뮤니케이션
•	지표 개발 요청의 우선순위를 설정하고 주니어 BA 리딩 및 주요 프로젝트 추진
•	보고서 및 시스템을 최신 상태로 유지하고, 신기술 및 방법론 도입/적용
•	프로젝트 산출물, 의사결정 과정, 최종 결과에 대한 문서화
•	이해관계자와 협업하여 요구사항을 정의하고, 이를 실행 가능한 Task로 전환하여 기한 내 고품질 결과물 도출
•	AI/LLM 등 최신 기술을 분석 업무에 접목하여 인사이트 도출의 속도와 품질을 높이는 시도
•	반복적인 데이터 추출·리포팅 업무의 자동화 파이프라인 구축 및 개선 •	데이터 분석 관련 실무 경력 3년 이상 (또는 그에 준하는 프로젝트 경험)
•	SQL 능숙, Python 활용 가능 (데이터 추출·분석·자동화를 코드로 수행할 수 있는 수준)
•	데이터를 기반으로 문제를 정의하고, 분석을 통해 실행 가능한 해결책까지 도출해본 경험
•	분석 결과를 다양한 이해관계자(기획, 개발, 리더십)에게 명확하게 전달하는 커뮤니케이션 역량
•	분석 결과가 실제 비즈니스 지표(매출, 비용, 고객 경험 등) 개선으로 이어진 임팩트 사례 보유 
•	통계 분석, A/B 테스트 등 정량적 의사결정 방법에 대한 기본적 이해",2026-06-12 09:30
원티드,페니로이스,Data Scientist in Financial,금융·보험,서울 종로구,1,정규직,미공개,통계,2026-07-12,https://www.wanted.co.kr/wd/367782,"• 금융기관 대상 빅데이터 분석 및 머신러닝 모형개발
• 최적화 알고리즘 또는 강화학습 알고리즘을 활용한 다양한 전략개발
• 통신, 카드 또는 입출금 거래내역 데이터 등 금융기관 활용 가능한 대안 데이터 활용 데이터 활용 데이터 분석 및 통계모델 개발
• 금융기관 대상 데이터분석, 통계모델 또는 전략개발
• 통계 분석 Package(SAS, SPSS, ML 등) 및 분석용 오픈소스(Python, R 등) 활용하여 프로젝트 수행 • 4년제 대학 졸업 이상
• 통계/수학 및 유사/관련학과 졸업자 • 석/박사 졸업자 우대
• 해외 학위나 영어 가능자 우대
• 금융권 관련 업무 종사자나 금융권 대상 컨설팅 프로젝트 경험자
• 각종 분석 패키지(SAS, SPSS, ML 등) 또는 오픈 소스(Python, R 등) 활용 데이터 분석 및 모형개발 프로젝트 경험자",2026-06-12 09:30
원티드,나이스지니데이타,신용평가/리스크 모델 개발,금융·보험,서울 영등포구,3,계약직,미공개,"SQL, 통계",2026-07-31,https://www.wanted.co.kr/wd/367167,"ㆍ신용평가/리스크 모델 개발 및 데이터 컨설팅 프로젝트 수행 (상주 및 비상주) ㆍ대졸이상 데이터 분석 및 예측(추정)모델링 경험자(3년 이상, 경진대회 및 개별 과제 인정 불가)
ㆍ신용평가/리스크 모델 및 전략 (신용정보/대안정보 활용, 승인/거절, 한도, 금리, PD LGD EAD, 이상거래 탐지 등) 관련 지식 보유 또는 프로젝트 경험자
ㆍ통계, 데이터분석, 산업공학, 수학, 경제학 등 관련 전공자
ㆍ데이터 분석 툴(SAS, 파이썬, SQL, R 등)을 활용한 분석 및 ML(기계학습)모델 개발 경험 보유자 ㆍ국가보훈대상자 우대
ㆍ신용카드업 관련 업무 또는 기업여신 관련 업무 경력자",2026-06-12 09:30
원티드,티오더,Data Analyst,미디어·콘텐츠,서울 영등포구,3,정규직,미공개,", , , , , , ",상시채용,https://www.wanted.co.kr/wd/366901,"• AI 서비스 도입 전후 매장 매출 변화를 측정하고 성과 분석을 통해 비즈니스 가치를 데이터로 증명합니다.
• 내부 지식베이스를 운영하고, 지표 정의와 마트 구조가 에이전트에 정확하게 반영되도록 고도화합니다.
• 마케팅, 세일즈, 영업, 백엔드 등 유관 부서와 협업해 핵심 비즈니스 지표를 정의하고 전사 기준을 수립합니다.
• Data Catalog와 데이터 품질 검증 체계를 구축해 신뢰할 수 있는 데이터 환경을 만들어 나갑니다.
• 비즈니스 요구사항 기반 Silver, Gold 레이어 테이블을 설계, 구축하고 셀프서비스 분석 환경을 제공합니다.
• QuickSight 기반 핵심 대시보드를 구성하고 고객 세그먼트 분석을 통해 비즈니스 의사결정을 지원합니다.
• 다양한 직군의 요구사항을 데이터 요건으로 구체화하고 단순 이행을 넘어 데이터 활용 기준을 함께 정의합니다.

[기술 스택]
• Query: Athena, Spark SQL, dbt
• BI: QuickSight, Redash
• Storage: AWS S3, Apache Iceberg (Medallion Architecture)
• Orchestration: Apache Airflow • 3년 이상의 데이터 분석 실무 경험
• SQL로 복잡한 비즈니스 요구사항을 직접 구현할 수 있는 역량 (Athena, Spark SQL, Trino 등)
• 핵심 지표를 정의하고 문서화하여 조직 내 기준을 수립한 경험
• 마케팅, 세일즈, 기획 등 비개발 직군과 데이터 요건을 함께 정의한 협업 경험
• 매출, 전환율, 리텐션 등 비즈니스 지표를 분석하고 인사이트를 도출한 경험
• 요구사항의 맥락을 파악해 데이터 구조와 활용 기준을 스스로 제안할 수 있는 주도성 • Attribution: 마케팅 또는 서비스 성과 Attribution 분석 경험
• BI: QuickSight, Tableau, Redash 등 BI 도구 대시보드 구성 경험
• Data Governance: 지표 사전, 데이터 카탈로그 구축 및 운영 경험
• Data Modeling: Star Schema, OBT, Dimensional Modeling 등 분석용 데이터 모델 설계 경험
• dbt: dbt 기반 변환 로직 작성 경험
• AWS: S3, Athena 기반 데이터 분석 환경 사용 경험",2026-06-12 09:30
원티드,쿠팡,Staff Data Analyst (Coupang Logistics Service),이커머스·유통,서울 광진구,5,정규직,미공개,"SQL, ETL, Tableau, Power BI, A/B, 통계, Python",상시채용,https://www.wanted.co.kr/wd/366729,"End-to-End 데이터 분석
• 비즈니스 문제를 데이터 기반으로 정의하고, 가설 설정부터 분석 및 인사이트 도출까지 End-to-End 분석 수행
• 주요 비즈니스 이슈에 대해 정량적 분석을 통해 Root Cause를 도출하고 actionable insight 제공
• Product, Operations, Finance 등 이해관계자가 데이터 기반 의사결정을 할 수 있도록 지원

KPI 설계 및 성과 측정 
• 비즈니스 목표와 연계된 핵심 KPI 정의 및 측정 체계 설계
• 주요 지표를 지속적으로 모니터링하고 이상 징후 탐지 및 개선 기회 도출
• 신규 프로젝트 및 전략의 성과를 정량적으로 평가하고 리포팅

데이터 시각화 및 리포팅 자동화 
• Tableau, Power BI 등의 도구를 활용하여 주요 지표 대시보드 설계, 구축 및 유지보수
• 반복 리포팅 프로세스를 자동화하여 분석 효율성 및 데이터 접근성 향상
• 복잡한 데이터를 이해하기 쉬운 형태로 시각화하여 조직 내 공유

데이터 모델링 및 데이터 파이프라인 협업 
• 분석 목적에 맞는 데이터 모델링 및 데이터 마트 설계
• ETL 파이프라인 및 데이터 구조에 대한 이해를 기반으로 데이터 활용 환경 개선
• 데이터 품질 검증 및 정합성 유지에 기여

시험 설계 및 성과 분석 
• A/B 테스트 및 통계적 방법론을 활용하여 주요 비즈니스 이니셔티브 효과 측정
• 실험 결과를 기반으로 실행/중단 및 전략 방향성에 대한 근거 제공

Cross Functional 협업 
• 다양한 조직(Product, Engineering, Operations 등)과 협업하여 데이터 요구사항을 정의
• 비즈니스 질문을 분석 문제로 구조화하고 적절한 분석 프레임워크 수립
• 분석 결과를 명확하고 설득력 있게 커뮤니케이션

AI/LLM 등 최신 기술을 활용한 분석 생산성 및 품질 개선
• LLM 기반 분석 문제 정의 및 요구사항 정제 자동화
• AI 기반 분석 코드/쿼리 생성 및 검증 체계 구축
• LLM 기반 인사이트 도출 및 커뮤니케이션 고도화 • Data Analytics Engineer, Data Analyst, Business Analyst, Data Scientist 등 데이터 엔지니어링/분석 관련 경력 5년 이상
• SQL/HQL에 대한 높은 숙련도 및 Hive, Presto, Redshift, Athena, Spark 등 대용량 데이터 처리 경험 3년 이상
• Tableau, Power BI 등 데이터 시각화 도구 3년 이상 활용 경험
• ETL 및 데이터 모델링(Dimensional Modeling)에 대한 이해 및 실무 경험
• Python 을 활용한 데이터 분석 및 자동화 경험
• A/B 테스트 및 통계적 분석 방법론에 대한 기본 이해데이터 기반으로 문제를 정의하고 해결할 수 있는 분석적 사고
• 디테일하고 정확한 데이터 처리 및 인사이트 도출 역량
• 빠른 속도의 환경에서 우선순위를 설정하고 멀티태스킹 가능한 능력
• 다양한 이해관계자와 협업 가능한 커뮤니케이션 역량 • AI/LLM(ChatGPT, Claude, Copilot, Bedrock 등) 활용 경험
• AI 기반 분석 자동화 또는 Agent 구축 경험
• Airflow 등 워크플로우 오케스트레이션 도구 경험
• 데이터 모델링 관련 Metric Layer 설계 경험
• AWS 기반 데이터 업무 경험
• AWS, Azure 등 클라우드 플랫폼 관련 자격사항
• STEM, Statistics, Economics, Finance 등
• 이커머스, 물류, 핀테크, 스타트업 등 관련 도메인 경험
• 영어 업무 커뮤니케이션 가능
• 석사 이상 학위 (Engineering, Business, Statistics 등)",2026-06-12 09:30
원티드,프라이데이즈랩(Retentics),[리텐틱스] 데이터 사이언티스트 (Data Scientist) 5년 이상,이커머스·유통,서울 강남구,5,정규직,미공개,"SQL, Python",2026-06-30,https://www.wanted.co.kr/wd/365648,"리텐틱스의 데이터 사이언티스트는 AI 기반 이메일 마케팅 SaaS 프로덕트의 핵심을 이루는 예측 모델·추천 알고리즘을 설계하고 고도화하며, 다양한 DTC 브랜드 고객의 재구매·LTV 성장을 데이터로 만들어내는 역할을 담당하게 돼요.
비즈니스 문제를 데이터 문제로 정의하고, 백엔드 엔지니어와 밀접히 협업하여 모델이 실제 프로덕트 환경에서 안정적으로 동작하도록 구현하고 최적화해요.

주요 업무
• 고객 재구매를 유도하기 위한 고객 세분화, 타겟팅, 상품·콘텐츠 추천 알고리즘 설계 및 운영
• 고객 행동 데이터를 기반으로 예측 모델(재구매 시점, 반응 확률 등) 개발 및 고도화
• 백엔드 엔지니어와 협업하여 머신러닝 모델의 서빙, 추론 속도 최적화 및 운영 안정성 확보
• 실험 결과를 바탕으로 모델 성능을 지속적으로 개선하고, 비즈니스 임팩트로 연결 [리텐틱스와 함께 할 데이터 사이언티스트를 찾고 있어요.]
• 5년 이상의 ML/DL 모델링에 기반한 프로젝트 실무 경험이 있으신 분
• 개인화 추천 및 고객 행동 예측 관련 모델링 경험이 있으신 분
• 이커머스 및 거래 데이터 도메인에 대한 이해도 혹은 관련 근무 경험이 있으신 분
• Python과 SQL 프로그래밍을 능숙하게 다룰 수 있으신 분
• ML/DL에 대한 동작 방식과 수학적 원리에 대한 이해도가 있으신 분
• 문제 정의부터 모델 배포까지 End-to-End로 주도한 경험
• 분석 결과와 모델 구조를 비전공자에게 명확하게 설명할 수 있는 커뮤니케이션 능력 [이런 경험이 있으신 분이면 더 좋아요]
• Data Science 관련 전공(통계학과, 수학과, 컴퓨터과학 등) 석사 이상의 학력을 보유하신 분
• B2C 비즈니스에서 머신러닝 모델링 경험이 있으신 분
• 대용량 데이터 처리/분석 (Spark) 경험이 있으신 분
• 빠르게 실험하고 반복적인 피드백으로 모델을 개선해 나가시는 분
• 영어권 국가에서 학위를 취득하셨거나 혹은 영어로 업무가 가능하신 분

[데이터 사이언티스트의 기술 스택]
• 데이터 처리/분석 라이브러리 : NumPy, Pandas, Polars, Spark 
• ML/DL 라이브러리 : Scikit-Learn, Pytorch, Tensorflow 
• 클라우드 컴퓨팅 서비스 : AWS",2026-06-12 09:30
원티드,레트리카(Retrica),그로스 매니저 (Growth Manager),미디어·콘텐츠,서울 강남구,0,정규직,미공개,", , , , ",2026-06-30,https://www.wanted.co.kr/wd/365646,"• 퍼널·코호트·리텐션 데이터 분석을 통한 성장 기회 발굴 및 핵심 지표 정의
• 가설 수립 ＞ 실험 설계 ＞ A/B 테스트 실행 ＞ 통계적 해석 ＞ 의사결정의 사이클 운영 (앱 내부 및 마케팅 채널 모두)
• Paywall·온보딩 전환 최적화 실험 설계 및 실행
• CRM 캠페인(Push, In-app) 설계·운영 및 리텐션 관리
• 지표 모니터링 대시보드 구축 및 분석 리포트 작성 • A/B 테스트를 설계부터 통계적 해석까지 직접 수행한 경험 (표본 크기 산정, 유의수준·신뢰구간, 거짓양성/검정력에 대한 이해)
• SQL 또는 Amplitude/GA 등으로 퍼널·코호트·리텐션을 직접 분석한 경험
• 정량 데이터를 기반으로 가설을 세우고 의사결정을 내리는 사고방식
• 개발·디자인·비즈니스 등 다양한 직군과 논리적이고 유연하게 소통할 수 있는 분
• 분석 결과를 리포트로 끝내지 않고 실제 제품/캠페인 변경으로 연결해 지표를 개선해 본 경험 • 3년 이상의 그로스/데이터 분석/서비스 운영 유관 경력
• 구독형 앱 서비스의 Revenue 구조(LTV, Churn, Paywall 전환율 등)에 대한 이해
• Amplitude, Braze, Firebase, Amplitude Experiment 등 데이터/CRM/실험 솔루션 활용 경험
• 푸시/인앱 메시지, 온보딩 등 제품·운영에 대한 기본 감각
• 글로벌 유저 대상의 온보딩/CRM 문구(Copywriting)를 현지 정서에 맞게 다듬을 수 있는 분
• 사진, 셀카 또는 이미지·영상 편집에 대한 관심",2026-06-12 09:30
원티드,스위치원,[인턴] DA | 데이터 애널리스트 인턴,IT·플랫폼·SaaS,서울 서초구,0,인턴,미공개,"SQL, Retention, Cohort, LTV, Python",상시채용,https://www.wanted.co.kr/wd/365131,"주요 업무 (Core Role)
합류하면 이런 일을 함께해요
* 프로덕트 및 마케팅 의사결정에 필요한 데이터 분석
* 서비스 성장을 위한 제품 및 마케팅 방향성, 사용성(UX) 개선 가설 수립 및 제안 
* 비즈니스 KPI 지표 및 대시보드 구축/관리

함께 할 수 있는 업무 (Flex Role)
* 스쿼드/프로젝트 상황에 따라 유동적으로 대응 가능한 업무
* AI 및 금융 관련 시계열 통계 및 데이터 분석 지원
* 데이터 마트(Data Mart) 구축 보조 및 데이터 정합성 관리 지원 * 데이터 분석 관련 프로젝트 경험이 있는 신입 또는 2년 미만의 DA 경력을 갖추신 분
* Python, SQL 사용에 능숙하여 주도적으로 데이터를 추출하고 가공할 수 있는 분
* Retention, Cohort, LTV 등 주요 모바일 서비스 지표 및 분석에 대한 이해도가 높으신 분
* 가설을 세우고 분석을 진행해 유의미한 인사이트를 도출해본 경험이 있으신 분
* 다양한 직군(개발, 기획, 디자인 등)과 유연하고 원활한 커뮤니케이션이 가능하신 분 * 금융(핀테크) 관련 도메인 서비스에 대한 이해도가 높으신 분
* 다양한 데이터 핸들링 및 시각화 도구를 자유롭게 다룰 수 있는 분 (Python, SQL, Excel 등)
* 서드파티 트랙킹 도구를 활용한 분석 프로젝트를 진행해본 경험이 있는 분 (Mixpanel, AppsFlyer, GA4 등)
* 지표의 성장을 위해 다양한 가설을 설정해보고 실험(A/B Test 등)하여 직접 서비스를 개선해본 경험이 있으신 분
* 긍정적인 태도와 성실함을 바탕으로 팀과 함께 성장하고자 하는 분",2026-06-12 09:30
원티드,커넥트웨이브,[Consumer Commerce] 보험 데이터 분석가,금융·보험,서울 금천구,3,정규직,미공개,"SQL, BigQuery, Tableau, GA4",상시채용,https://www.wanted.co.kr/wd/365011,"• 보험 고객 행동 및 상담 DB 데이터를 분석해요.
• 유입  상담  계약 전환 퍼널 성과를 분석하고 최적화해요.
• 가격비교 사용자 기반으로 보험 전환 고객을 발굴하고, 세그먼트 전략을 수립해요.
• 상품 · 고객군별 성과를 분석하고, DB 품질을 관리해요.
• 마케팅/CRM 조직 대상으로 데이터 기반의 인사이트를 제공해요.
• 대시보드를 구축하고, A/B 테스트 분석을 통해 운영을 고도화해요. • 경력: 데이터 분석 실무 경력 3년~7년
• SQL 기반 데이터 추출 및 분석 역량을 보유하신 분
• GA4, BigQuery, Tableau 등 데이터 분석 및 시각화 툴 활용 경험이 있으신 분
• 데이터 기반으로 문제를 정의하고, 실행 가능한 인사이트를 도출할 수 있으신 분
• 마케팅 성과 및 고객 행동 데이터를 분석하며, 실제 개선 성과를 만들어 본 경험이 있으신 분
• 다양한 조직과 원활하게 커뮤니케이션하며 협업할 수 있으신 분 • 보험, 금융, 핀테크, 플랫폼 서비스 도메인 경험이 있으신 분
• 고객 세그먼트 분석 및 CRM 캠페인 분석 경험이 있으신 분
• Python/R 기반 데이터 분석 경험이 있으신 분
• 머신러닝 기반 고객 예측 모델 또는 이탈 예측 모델 운영 경험이 있으신 분
• 신규 서비스 초기 단계에서 데이터 체계 및 지표 설계를 경험해 보신 분",2026-06-12 09:30
